gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
CAV2,1467,1239,200,1234,310,5296,4636,1177,2777,2090,970,4106,1709,611,41,1253
MAP3K13,806,990,468,988,405,920,1587,1382,689,652,536,1180,1010,283,498,1101
HIST1H1B,17,23,5,15,14,2,3,3,0,1,0,1,5,8,0,0
APOBEC3F,231,940,548,453,465,301,430,281,99,26,149,157,793,458,283,115
TSPAN6,568,756,180,419,216,1389,1689,752,847,1215,736,801,783,80,37,471
SERP2,42,90,43,23,12,56,144,78,96,30,19,78,46,15,11,85
IL2RG,2179,12862,7869,5081,6687,1469,4577,3838,1197,294,2487,793,6124,5241,3798,2157
VNN3,84,87,190,539,28,14,40,63,14,38,41,14,131,52,122,7
FGL2,7197,15825,10806,11066,1798,1708,3902,7347,2035,3450,2276,2124,9407,8263,17697,3642
JAM2,162,233,42,81,7,51,223,351,1195,735,182,101,214,80,14,332
NKX3-1,50,29,32,128,18,31,56,196,80,326,34,128,53,21,12,186
LINC00964,1,7,4,2,0,2,6,38,35,29,5,5,5,1,3,2
SEMA4C,540,861,741,1171,168,406,1415,1260,2150,1141,965,771,874,542,465,1081
ETV3,1046,1228,886,1622,359,323,633,8467,3574,1695,2712,1324,719,801,923,3472
PCDH19,5,18,3,3,0,1,6,12,60,104,4,8,5,1,0,22
RP11-141B14.1,9,26,17,19,11,8,2,8,2,1,5,6,25,9,10,4
TNFRSF12A,599,519,245,1561,813,5410,3185,2376,836,1478,575,2424,1250,1359,155,5225
GATA6,11,23,4,76,9,73,77,81,275,122,33,26,76,15,3,60
TRBV12-3,36,162,63,37,44,26,24,21,2,0,24,7,100,31,47,7
BMPR1A,403,522,247,532,187,506,884,530,531,273,281,515,470,194,133,362
FILIP1L,784,634,1160,1673,31,244,1074,3759,6149,6910,1406,783,634,535,671,2462
RP1-142L7.9,2,4,0,3,2,0,11,12,26,23,9,2,2,0,0,6
IPCEF1,479,1429,2279,758,1041,297,440,813,267,112,350,181,917,693,314,164
CD300LG,11,17,1,2,0,6,17,20,60,170,0,6,4,0,1,30
HRAT92,26,15,1,7,6,19,73,27,18,11,15,30,5,5,2,63
PCDH1,116,138,58,68,110,71,253,431,2567,997,334,65,475,60,6,487
CCDC184,15,13,3,10,5,4,14,27,81,66,16,15,13,5,0,34
LINC00092,10,43,60,16,30,7,15,14,8,1,3,6,20,31,6,4
DYNLL1,2566,5554,2930,4885,2375,6946,11180,3289,5020,3926,2516,4221,3798,3297,3139,5041
CACFD1,161,250,116,171,74,250,805,304,183,146,83,149,256,120,102,398
MAP1B,341,267,45,343,908,1261,694,1213,7935,3959,642,2280,705,454,10,924
FAM157B,65,89,165,112,25,36,25,92,23,15,27,16,121,81,87,12
IGKV2-30,173,1199,27,67,110,56,306,22,18,21,24,12,521,1545,15,31
YWHAE,5904,11302,5739,10769,3536,11786,21861,9189,7820,7311,3600,6890,6769,5530,5504,11056
TBC1D19,210,273,146,176,114,198,597,239,286,187,119,292,168,89,55,190
STAC3,256,1016,663,902,143,177,483,290,71,37,142,116,474,634,887,335
RNASEH2B-AS1,12,7,26,25,4,2,10,10,2,2,2,4,21,13,26,4
VPS26B,1163,3150,2239,2370,1057,510,2012,1714,1147,462,864,977,2249,1539,1684,975
RPL32P1,276,365,142,219,35,28,88,112,9,1,25,32,46,89,153,12
DLX5,9,14,0,2,0,4,27,47,99,45,27,4,19,1,0,38
C1QL4,8,0,4,3,0,36,199,44,8,4,5,4,0,10,0,56
KANSL2,887,1057,928,1034,597,746,1683,1612,1343,923,768,890,759,725,725,991
RP11-1143G9.5,16,36,77,23,8,8,13,11,7,0,5,10,49,28,10,0
AC006116.22,5,7,6,16,3,0,4,4,1,1,1,1,10,8,17,2
CBX8,71,170,72,122,71,140,338,134,175,50,89,251,108,93,80,111
PDZD8,1129,1394,1060,1570,580,1961,2481,2111,1878,1362,736,1742,1392,1733,618,1673
DHX16,1349,2430,1860,2075,835,916,2216,1614,947,637,886,869,1833,1383,1172,955
TLR10,245,299,202,455,82,27,255,194,20,17,91,69,276,228,447,35
IGKV2D-28,222,1515,23,111,2047,130,547,37,19,12,42,104,1376,1764,37,112
PIF1,85,548,244,214,302,89,148,132,96,21,57,38,182,154,96,74
PAIP1,1215,2428,1460,2308,893,1936,3989,1666,1924,1220,1067,1523,1394,1360,1251,1801
HAVCR2,2535,9217,6581,7843,2670,1970,4383,4189,845,835,1465,1102,4027,5969,6933,3573
LDB1,1492,3236,2167,2345,1057,726,1830,1833,1367,577,1022,850,2467,1558,1381,1058
GNPTAB,1939,5450,5872,4264,2074,2297,2227,3021,1995,696,1699,1789,4106,4222,5297,1376
DDX60L,2394,2694,3779,4405,2594,888,1324,2624,1909,873,943,1523,2357,3191,3493,777
HENMT1,307,874,806,707,385,87,738,328,237,52,220,109,581,354,546,142
USP32P2,31,54,45,27,21,13,14,16,16,3,12,21,33,29,41,2
RBPJ,3321,5852,5818,8431,3467,2063,2657,3615,2076,1369,1954,2730,2965,3655,4229,1906
RP11-722G7.1,44,75,57,43,30,61,140,106,69,23,42,46,42,42,20,52
DHFRL1,197,398,381,365,165,99,318,141,180,55,138,181,369,216,290,104
NAA40,816,1818,1361,1266,728,648,1301,1125,531,218,543,478,1227,972,902,387
CARNMT1,314,686,503,577,372,205,384,350,383,156,191,215,521,350,419,210
SIK1,2519,3388,614,3478,987,3658,1355,6027,9728,2955,3476,2571,879,1706,643,4397
ISPD,47,53,3,19,10,39,114,117,196,29,37,81,60,18,8,46
IGHV3-74,144,778,31,60,315,61,190,33,10,14,16,23,553,106,33,35
ABR,2161,6076,6602,5591,1594,2004,2789,3663,2318,1022,1513,1597,5412,3942,6734,2386
ZNF438,437,1232,1128,1176,214,282,597,482,352,226,242,278,860,676,1365,495
ACTR2,5826,18225,18172,19136,7869,4863,6927,9520,8628,4596,5009,3795,13310,12241,18689,5741
GTF2E1,240,568,509,555,303,281,446,217,195,90,174,245,383,465,487,163
RP13-941N14.1,7,20,12,11,9,1,5,8,3,0,2,3,13,15,5,4
FAIM,240,325,178,259,111,532,1275,370,195,115,172,276,239,108,141,282
CUL9,1057,2378,1901,1627,961,827,1624,1617,904,410,836,870,2084,1361,1300,751
CRMP1,8,18,10,25,11,20,44,25,70,27,23,8,20,11,2,34
TBX18,6,4,1,13,0,3,207,10,96,11,6,5,10,274,4,25
KLHL15,768,828,417,464,340,233,354,2101,2515,2062,761,1359,353,320,276,828
UBE2FP1,30,20,8,20,7,14,44,43,26,19,19,36,7,9,7,31
PKP1,20,68,12,52,55,701,115,93,211,31,109,53,68,5,1,80
SGMS2,476,388,692,543,352,745,592,1608,689,2628,319,1328,495,582,367,1578
RP11-359K18.4,5,8,4,10,3,18,4,24,25,9,12,33,7,4,0,4
CTC-529I10.2,9,8,5,9,2,5,15,25,14,6,14,8,3,3,3,14
RP11-603J24.7,46,70,24,41,16,65,98,55,101,49,42,44,49,26,36,39
RP1-239B22.5,119,113,69,58,19,30,257,616,158,64,73,94,57,48,72,677
ARHGEF6,3467,7820,6270,7739,3073,1313,2825,4049,3181,821,3013,1462,4519,6183,4270,1345
GPER1,150,143,70,95,34,298,552,231,216,38,111,122,178,108,37,300
CALD1,4556,4993,666,4683,1934,4319,11516,6013,23465,11154,6545,4363,4301,506,156,5629
TAGLN,1142,1892,593,1638,143,385,2175,3738,12718,8482,2691,359,1818,825,1423,3515
MYLIP,1932,1488,948,1175,405,332,2019,3994,4107,4334,1521,2014,1248,522,633,2345
APOBEC3D,314,1447,913,588,677,358,604,335,129,22,204,205,980,615,322,152
TNC,152,265,28,1131,55,313,425,784,1108,2310,511,361,320,168,12,1919
PXK,636,1113,1157,1512,499,345,364,753,519,306,333,352,765,631,984,370
SLFN12L,605,1884,2221,755,1484,197,318,951,285,50,429,242,1346,868,308,109
SHROOM2,38,39,4,51,3,2,63,207,667,609,54,36,131,10,1,104
RP11-405M12.4,7,52,48,50,30,9,31,20,6,5,13,7,50,19,28,4
VGLL4,680,1380,773,1195,504,1473,1693,1342,3275,1362,695,723,1186,656,651,1117
GABPB2,614,1214,881,844,400,317,596,671,538,172,335,311,763,477,575,320
ARHGEF25,76,234,18,34,149,523,241,318,863,109,228,343,171,24,4,297
AOC3,60,766,34,95,24,53,315,302,2185,869,545,113,211,38,26,327
SPARCL1,7001,6445,58,1383,74,531,4616,14742,138404,88469,11197,427,9951,88,44,9486
