gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
GIMAP2,760,2364,1540,1467,889,330,713,436,313,278,271,256,1661,984,1517,253
FAM78A,869,3100,2416,1924,1123,314,756,822,452,138,395,260,2600,1508,2039,373
SP110,618,1130,1024,995,621,226,536,387,220,144,266,219,699,861,608,191
RP11-54O7.17,20,16,2,9,1,23,138,841,353,300,85,74,16,17,5,383
IL16,2041,7205,5159,4876,2641,560,2143,1977,608,337,1027,614,4430,3229,2846,775
SERPINH1,1362,2109,701,4319,560,6234,14628,4911,6783,8852,2990,8317,1618,1367,514,9380
EVI2B,2176,7060,5889,6254,2542,808,1767,2345,650,560,1059,926,4398,3308,6146,1319
RTL1,0,0,0,0,175,57,0,0,0,0,0,0,0,916,0,0
MSX1,20,23,4,8,3,32,53,175,1184,1131,42,167,22,12,1,387
ZNF165,47,51,15,53,25,63,288,384,108,161,150,348,81,42,17,205
AC139100.4,20,15,12,23,2,15,138,126,36,52,46,74,14,8,6,106
ZNF683,143,1516,1287,832,348,12,126,88,47,4,98,50,1476,739,200,33
RP11-359E10.1,8,16,4,31,3,214,107,50,69,78,19,149,11,18,2,166
RND3,1056,1021,535,1763,984,4418,8482,2607,2656,3510,1621,7037,1204,721,331,4758
RP5-1091N2.9,39,160,84,89,44,16,41,40,11,4,15,15,69,64,61,21
WFDC1,11,16,2,6,6,13,89,104,149,82,61,20,13,6,3,50
ARC,30,20,4,13,15,20,80,194,778,1266,66,288,22,15,2,370
RFPL1S,37,64,64,79,30,13,10,21,8,8,12,5,47,30,55,11
P2RY13,2409,2956,2403,2326,405,314,797,673,121,51,185,235,1357,1399,2033,334
RND1,145,74,26,31,32,29,123,1497,2548,8353,187,347,60,38,17,2835
ZNF619,154,226,239,254,100,91,131,114,56,39,55,94,224,203,186,52
RCSD1,2313,5177,4117,3754,1820,703,1606,1819,1447,307,947,693,3124,2798,3487,993
MT1M,30,49,8,19,12,52,400,50,354,73,172,160,58,14,6,277
SMPD3,80,315,384,211,129,23,56,86,51,5,34,21,182,272,183,43
FAM46B,9,11,1,10,2,19,82,84,29,74,14,349,6,4,3,33
TMC4,64,96,69,95,45,691,367,469,308,102,74,505,97,115,26,299
MAST3,825,1757,1340,1500,827,351,821,973,430,181,462,435,1840,924,943,395
CD38,454,3909,1560,1330,3374,342,466,464,142,97,160,215,1451,1779,2023,485
KIAA1462,241,216,74,207,38,1868,330,1052,6219,2756,502,630,352,73,16,938
TCIRG1,3793,9187,7174,7859,2683,2136,5429,4897,2565,1284,1707,1988,8354,5987,7702,2074
TLR1,1696,3189,2439,4523,506,359,840,1073,168,157,475,449,1813,2274,3638,394
SERTAD1,709,781,339,1008,174,414,1568,4158,5799,4578,1708,2094,394,425,447,4959
MORF4L2,3566,5271,2462,5547,2040,8120,10615,7475,4666,7513,4061,6915,4076,2475,2120,6810
CDC42EP1,181,241,97,172,96,536,921,888,1212,700,276,291,291,279,190,1516
POLR1C,288,460,372,471,202,452,1077,741,630,656,314,623,454,349,241,628
DUSP8,134,128,46,151,24,70,503,1073,363,391,295,470,131,101,29,1113
COL6A2,1120,2608,633,1231,738,30862,10361,3141,14169,3264,5553,5333,3855,506,469,4264
FYB,4673,14321,11422,10923,6669,2019,3015,4052,1140,463,2856,1829,8399,7407,9799,2472
RELL2,158,444,341,245,205,80,245,141,110,32,79,103,352,253,223,90
NINJ2,146,435,290,403,142,64,168,157,31,42,72,45,245,200,282,83
ARHGAP30,3178,12066,10156,9658,4733,1027,3371,3834,1109,438,2200,864,9172,6200,8219,2058
S100A3,26,48,6,13,3,92,159,63,65,40,50,125,19,4,1,108
FOSL1,106,94,78,256,67,120,147,1784,1027,906,184,801,87,74,85,2644
COL6A1,621,1486,448,1395,429,21800,6339,2322,7426,1223,3034,3477,2006,402,529,2550
CHST1,30,33,9,25,8,28,378,119,1311,183,203,55,45,16,1,127
SASH3,2019,7017,5772,5584,2971,855,2536,2047,599,138,1147,606,5838,3915,4497,920
SPSB1,409,560,234,382,264,1274,2449,849,2012,1850,573,772,778,285,128,1302
TCHP,394,1001,872,790,383,279,567,450,317,164,272,308,802,460,560,247
SAMHD1,5634,18466,18156,16873,4479,2968,6231,5406,3546,2456,3210,2244,13035,11633,25113,3009
ADCY1,6,30,12,9,10,73,80,86,544,235,71,27,35,5,2,43
RP11-64B16.2,59,100,36,69,44,144,240,190,61,141,92,260,51,60,25,280
LINC00861,710,1939,1793,1174,724,78,333,274,161,14,230,82,1647,540,365,39
LARGE1,58,65,26,45,41,261,192,210,467,422,126,157,123,37,30,116
SHF,38,59,30,36,6,52,106,154,107,38,41,69,46,17,26,103
MYO1F,5169,11070,9851,11388,3764,1308,4395,5019,1301,624,2678,1267,10043,6545,10007,2144
GRK2,4477,12067,8387,9337,3948,2283,4677,6398,2760,1407,2912,1864,9055,7307,6640,2764
GVINP1,1286,3812,4476,2127,2404,385,597,975,618,252,680,517,3571,1797,1444,138
PDGFA,372,262,78,161,135,475,1462,861,2285,791,423,646,304,139,27,1776
ANKRD1,13,36,11,20,4,2,283,96,109,922,18,588,31,17,15,334
GCNT1,232,1668,1625,757,455,272,326,304,110,79,178,237,939,758,1420,172
BMF,1119,3565,1941,2245,737,289,864,1115,420,190,511,297,2023,1616,3367,631
GBP5,4207,27631,9654,9290,18124,1213,3013,4478,1181,187,1176,2051,9833,7099,11393,2415
PAQR8,447,1433,1256,1079,261,224,390,323,291,115,223,233,710,594,1363,182
RBKS,314,485,111,929,163,742,2559,1847,1179,910,1213,678,789,263,129,1895
TLR8,578,2570,3292,2012,417,301,283,448,141,135,373,369,1403,1215,3755,215
LRCH4,612,1196,1151,1212,472,287,549,842,385,181,340,323,1277,878,733,292
COL18A1,1671,2789,672,1367,1520,6062,7111,8177,25953,7979,6297,4642,3963,1033,222,7770
LINC01410,201,377,405,374,73,24,127,169,54,17,55,70,395,185,309,39
ANKRD13D,1674,3484,2152,3823,1201,953,2250,1718,884,360,931,784,2827,2109,2122,650
ASB9,53,75,31,40,14,171,158,116,331,202,80,65,73,38,23,129
DNAJB4,1247,983,189,1038,190,713,3029,4184,2114,16382,1155,15979,495,336,327,4550
MARK2,858,2347,1772,1822,990,579,1122,1009,612,537,507,427,1780,1276,1157,715
KLF5,80,31,23,68,24,311,399,889,108,640,86,820,133,124,29,425
TCEAL9,759,1253,361,926,515,1602,5479,1228,1904,1980,893,3836,1213,600,407,1733
DENND4B,2622,5281,4667,6392,1718,1177,2288,3397,1584,617,1367,1249,4475,3344,4129,1220
SNHG16,1197,1548,1040,1971,860,2096,3344,2905,1322,1594,1532,1894,1056,1192,750,1805
MYO1C,1693,2797,1525,2105,956,3962,7568,3344,4693,2219,1590,2953,3635,1650,1483,4195
AOAH,3135,8305,6105,8672,1615,963,2304,2974,641,362,887,536,4592,4608,5015,1934
GEM,295,453,94,1330,254,272,1069,5571,2359,3727,2014,2186,147,143,72,5953
WAS,1482,3798,3240,3940,1235,621,1833,1621,446,268,750,462,2842,2144,2487,1065
GRIN3A,11,211,115,50,59,13,19,7,1,1,6,7,60,83,296,16
BAG3,2371,870,243,809,272,651,7034,5363,3325,31075,1189,14964,947,487,294,18814
BIN2,2746,7357,6783,6593,2584,673,2553,2944,1081,298,1646,779,6078,3765,4800,1292
DKK3,350,358,93,325,20,658,627,1074,8404,2276,1150,1795,247,77,4,884
SLC25A35,160,621,494,365,184,65,196,202,112,32,117,76,384,296,439,110
KLHDC8A,1,7,1,8,3,3,39,57,341,38,70,4,6,2,0,26
APOBEC3H,299,830,485,538,367,100,246,165,63,14,114,102,567,420,127,72
CDC42EP4,543,506,104,347,281,1291,1107,1638,3064,2196,394,1008,539,286,115,2591
ST3GAL5,796,2360,1229,1603,906,486,868,983,445,384,438,461,1224,1033,1542,586
DNAJB1,17805,8442,2583,8584,4081,7662,66695,38089,14478,198363,15646,92785,2823,3013,1788,100861
UNC13D,1262,3680,3512,2779,1679,500,1512,1436,526,183,991,477,3541,2190,2117,528
DCK,872,2175,1835,1742,866,553,761,645,704,317,450,595,1088,1139,1303,334
RHBDF1,99,159,20,142,48,503,621,368,1138,418,218,303,212,160,15,556
LMNA,6212,5201,2624,3512,1225,7080,9004,23193,25918,14141,7012,4338,3045,3477,2485,34215
TM4SF1,1739,1363,179,2106,679,6599,8605,6552,23390,34607,2772,4411,1658,77,18,12474
NANOS1,15,18,5,21,9,92,43,50,49,344,32,69,11,11,4,34
ADAMTS7,45,62,7,52,13,57,152,154,1278,272,258,185,94,14,3,222
TNFSF8,673,1192,1952,1928,433,279,426,595,183,76,340,134,1015,1032,1170,341
EFNB2,289,419,20,109,24,229,340,1881,9227,11743,724,308,434,37,7,1923
PTGES,10,43,7,48,15,1645,325,447,39,12,166,175,52,33,14,64
SNX33,1065,1471,608,1183,302,2071,2620,1577,1503,830,846,1682,1026,781,517,1850
RP11-1148L6.8,39,122,78,107,35,171,237,127,127,86,98,74,64,46,67,101
FKBP15,2034,7519,6230,5687,1736,1316,3084,2526,1169,787,1412,1226,4701,4136,6889,1741
MIR17HG,21,26,24,40,16,11,51,222,253,221,126,92,18,11,35,179
NACAD,9,28,8,22,7,73,64,114,24,26,15,80,28,13,3,151
EXT1,448,710,443,734,278,833,1203,749,1229,812,445,723,512,290,316,784
PRR5L,577,1460,1356,1092,767,289,551,857,460,249,251,236,1354,824,776,368
HES4,125,96,12,25,7,58,947,1047,553,474,151,307,125,81,7,1268
GMIP,1660,3706,3630,3456,1284,672,1809,1627,553,181,1027,619,3405,2557,2838,727
SH3BP1,940,3212,2492,2345,1164,381,1131,991,257,71,585,349,2592,1726,2144,573
LILRB1,1675,3847,3609,5959,632,475,1015,1394,496,175,809,568,2975,2568,4822,866
RIPK3,364,1026,1015,908,347,120,489,473,233,90,250,144,762,635,791,210
SAMD9L,3093,10794,8705,5518,7442,2175,3751,3195,2456,743,1427,2786,6047,6628,6936,1482
NID1,583,1141,249,599,141,832,1480,2943,15341,7858,2821,504,1109,369,130,2371
ATF4P4,294,385,220,374,155,322,954,563,675,474,305,261,276,179,179,580
SOX4,804,559,298,819,135,1330,2169,1473,1335,1460,543,1006,383,343,217,902
MLF1,472,95,100,276,145,737,793,857,918,874,341,1006,168,141,85,885
FAM49B,3800,9305,6746,9409,2827,1708,3933,4284,1304,663,1689,1725,4544,5525,7198,2533
CNTRL,2386,5067,4577,3583,2396,667,1622,2315,1102,537,1227,1141,2550,2963,2188,738
NUP50-AS1,183,490,279,378,127,129,223,190,102,60,104,75,267,239,348,85
NRXN3,25,15,11,5,7,12,40,201,169,95,40,119,20,7,2,32
WIPF1,4871,15820,11864,13718,8007,2446,4766,7849,2921,1667,3673,1762,11227,9021,8498,3590
TACC3,1033,3508,2466,2492,1410,719,1884,1179,501,229,654,499,1938,1945,1509,778
NLRC4,558,1481,1463,1974,126,280,499,369,130,67,186,139,851,829,2004,179
PPM1M,1264,4162,3332,3652,1365,867,2150,1286,540,174,791,589,2687,2316,3136,795
RHOC,1721,3133,1354,2767,1114,5284,8330,3070,4705,2415,1928,2472,3075,1931,1047,3728
HCLS1,10501,20602,15809,20040,5802,2866,8060,10832,3234,3652,4010,3313,12639,11214,12773,5689
RP11-93B14.9,55,187,198,134,99,30,99,64,29,14,38,18,174,104,79,40
GRB10,905,1068,182,527,164,1317,1937,3862,14927,9695,1748,1245,1476,563,149,2672
RIMBP3,9,37,26,22,11,3,15,5,4,0,1,4,37,27,38,1
FGF12,9,15,2,10,0,2,82,35,391,58,26,30,9,2,2,55
CFLAR-AS1,17,18,4,20,12,31,99,68,15,75,40,35,15,9,4,44
POU5F1B,26,55,20,34,11,139,221,128,27,31,47,93,35,24,5,48
C21orf59,286,528,310,352,199,746,1074,474,590,347,278,350,380,282,209,478
SOX7,41,36,7,27,3,1,62,270,1328,2891,76,16,66,2,2,641
CEACAM21,145,492,225,319,179,68,96,159,35,15,100,62,296,260,293,67
CCDC88B,2421,5159,4485,3749,2322,620,2353,2777,627,281,1108,966,4918,2991,2751,1005
CRLF3,719,2033,1534,1650,835,371,547,884,472,281,565,435,1406,1017,1537,320
GGT5,53,89,17,99,28,61,191,366,1803,2630,309,31,176,26,18,432
FAM171A1,113,147,47,86,45,373,389,418,431,151,124,297,242,33,17,347
MICALL2,377,675,182,319,261,1720,970,592,1009,947,460,948,467,212,221,691
LSMEM1,65,175,37,131,44,57,197,1188,471,726,305,158,126,111,46,638
NAV2,174,246,115,198,53,802,350,404,1148,857,124,1053,239,192,72,352
CPT1C,12,23,12,6,17,77,50,68,341,106,58,26,15,9,0,50
LRRC63,15,96,57,45,15,8,17,15,2,0,8,2,49,46,27,10
ZDHHC1,102,140,34,127,34,280,397,183,256,116,123,180,162,30,40,189
BMS1P4,41,77,55,52,22,19,34,30,9,8,13,17,48,43,39,5
ZSCAN12P1,5,4,0,1,5,11,13,40,28,25,26,34,4,6,1,11
ITPKC,554,829,1125,761,446,1330,2177,6941,2346,5142,903,714,1133,458,422,8478
WDTC1,1061,2369,1843,2047,772,703,1365,1290,904,497,738,618,2388,1326,1564,778
MARCKSL1,379,990,422,526,237,413,1723,2302,3733,1338,1022,694,787,290,519,1677
NOCT,185,105,63,241,43,65,171,1208,495,1601,211,874,94,88,67,1425
NCKAP1L,4752,15122,13269,13524,4690,2084,4321,6811,1639,725,3217,1895,10418,9507,14976,3218
HEY1,108,116,16,156,12,60,229,423,1587,1340,256,144,104,14,14,632
ROBO1,57,227,36,187,31,251,503,368,1797,487,321,87,102,106,74,254
LGALSL,184,221,112,198,41,77,358,712,1472,635,271,667,246,63,90,763
TGFB1I1,94,133,12,73,4,91,249,430,1236,465,395,147,139,41,6,841
DNMT1,1593,4675,4538,3118,2177,1244,2161,2206,1406,583,1278,988,3435,3151,2866,966
SLC12A9,1380,3418,2452,2843,906,830,2125,1400,801,330,905,851,2212,2212,2053,782
ACTC1,2,9,1,9,2,21,81,54,14,531,8,26,7,1,0,9
ICAM4,33,68,40,59,23,14,22,528,643,786,206,41,26,32,54,1768
TAGLN2,5734,12393,7697,12027,5345,26958,33429,13211,13294,10923,7406,9000,6953,6832,5779,13890
SLC46A2,47,62,78,100,7,5,24,13,3,6,13,10,120,29,167,10
TEP1,1669,4448,4073,3646,1597,648,1525,1952,1358,757,1155,771,3296,2514,3691,743
C2CD4B,12,11,0,6,0,0,16,216,249,1665,5,5,19,2,3,643
ARHGAP27,2636,4683,3309,3895,1238,779,3070,2528,1668,794,1056,1126,4129,3343,3199,1081
NEXN,41,114,50,95,33,183,187,111,634,539,91,309,77,57,35,80
GPSM3,1473,4887,3893,4466,1730,812,2283,1912,807,362,1132,523,3410,2519,3190,1295
XIRP1,2,8,12,10,5,5,10,55,76,82,5,165,4,5,4,80
IL1A,19,58,34,129,16,10,66,3232,1017,70,543,184,68,68,115,4056
RGS19,681,2100,1454,1832,423,415,1086,737,257,157,372,352,1795,1203,1798,543
SPRY4,238,455,25,133,44,85,628,1759,8867,4440,1185,254,504,52,8,1779
ARL5B,1048,1333,642,1151,401,371,1097,10045,5294,3591,2675,1942,809,436,700,6468
TRBV12-4,21,298,91,103,27,24,28,7,11,0,17,5,274,74,90,14
PDLIM1,1787,1957,397,1384,711,8888,12145,2988,4256,10241,1935,3814,2210,835,90,4018
CBLN4,10,9,0,4,0,3,167,120,142,3,63,182,0,1,0,16
ACSF3,860,1838,1155,1294,642,328,1101,852,343,197,479,526,1284,916,866,483
CACNB3,105,190,120,214,103,759,798,321,571,190,166,496,160,236,44,241
ADAMTS7P3,3,7,4,1,2,5,15,14,115,22,18,18,5,3,3,20
CDK16,1217,2081,1230,2084,733,1955,3934,2936,1538,1073,1169,1404,2030,1501,1018,1918
DNAJA4,983,1582,761,1116,472,448,786,10356,1603,26650,1281,12673,806,482,797,7895
RP4-742C19.12,60,144,91,54,63,8,18,56,7,3,8,12,66,60,30,7
ZNF142,428,979,814,760,445,264,567,496,440,220,262,304,1054,675,505,310
MIR181A1HG,133,196,51,114,31,6,41,25,17,12,16,9,40,85,41,3
EMP1,2275,1722,636,2656,240,232,1934,11260,58132,71830,3273,881,1730,440,985,12758
CD84,3086,13800,14929,8577,4093,2018,2363,4527,823,576,2771,1562,9999,7143,16174,2056
ADCY7,4712,10572,9621,8929,3286,1365,2961,5608,1400,538,2712,1689,7822,6811,8432,1253
TRBV5-6,7,98,68,43,50,9,24,8,7,1,6,10,42,29,39,5
LRRC25,728,2162,1838,2921,257,425,696,806,220,151,246,200,1623,1591,2847,517
EVA1C,340,298,155,110,159,823,2157,480,790,942,352,757,392,69,37,444
ZFP57,1,0,0,2,1,59,5,87,16,25,0,1,0,0,0,49
ABCC10,638,1592,1428,1182,698,477,825,665,432,165,447,414,1114,995,912,232
SHKBP1,1321,3507,2831,3152,1216,1133,2193,1623,892,430,864,561,2908,2374,2657,1137
HACD4,1610,2337,2099,2112,916,548,573,1057,340,92,533,550,1172,1399,1811,377
STK19,407,852,492,631,266,581,1257,726,554,305,367,504,563,361,284,685
GPR141,186,386,435,362,46,61,102,122,49,8,71,41,193,261,325,51
ZNF687,436,1028,772,924,449,403,641,676,416,222,252,339,948,669,723,350
MPP3,62,78,81,97,51,166,284,110,190,129,78,143,65,47,29,66
TTC31,850,2172,1653,1724,829,678,1474,1133,629,266,554,680,1563,1124,1169,514
ATF4,7067,8691,4883,8086,3885,7127,20604,13671,14717,11212,7212,5556,6797,4802,4258,14624
TRG-AS1,207,707,1059,496,580,119,187,292,88,35,179,126,840,382,306,91
ME2,1615,6660,4127,5895,1220,1112,1850,1927,919,637,883,982,2937,4084,5121,1832
ATP13A1,1209,2852,2304,2376,1163,1046,2295,1686,918,491,811,1026,2264,1911,1714,934
ZBP1,565,1833,924,565,1199,124,405,422,138,21,153,127,954,603,234,87
EVI2A,980,3660,1964,3253,978,475,1099,1016,272,312,661,380,1543,1411,2657,816
C9orf91,569,1563,923,1016,322,284,588,541,255,154,246,270,842,760,1288,464
RP11-1319K7.1,771,1555,1259,1599,367,399,505,539,300,199,416,376,786,1102,1652,284
TTC19,1111,1696,1186,1570,680,1245,2529,2702,1418,743,943,1146,1099,897,925,1409
GLI2,12,14,2,14,2,20,21,45,42,38,29,24,13,2,0,74
C1orf198,238,529,227,465,116,448,475,730,1330,806,289,617,367,146,204,927
TNFRSF10D,843,565,495,1056,159,497,1017,2642,10359,7193,942,2461,881,372,428,2665
RGS18,643,1283,1230,1611,128,168,379,476,128,43,175,218,684,656,1025,77
COL4A2,1974,4805,202,1709,419,3241,9648,10814,80330,17355,16090,2364,5197,417,82,9991
DCLRE1C,351,719,639,591,391,221,530,351,235,91,175,227,553,489,555,109
CSK,1453,6292,4250,3643,2492,987,2848,2105,902,341,1020,594,4141,3310,3692,1543
NDRG4,21,18,5,17,8,44,46,70,288,45,28,127,27,11,2,22
FAM222A,3,12,5,9,10,9,17,185,102,228,9,62,14,23,6,178
DOCK8,4037,10328,11506,10841,5765,1897,4843,7098,2891,873,2804,1969,10146,6967,8056,2536
UAP1,1002,1383,655,1751,765,2710,1888,2212,2231,2056,912,2815,1154,576,530,2173
DNAJB1P1,0,1,0,1,1,0,14,12,7,47,5,21,1,0,0,16
POU2F2,628,1969,1683,2361,558,180,745,919,344,108,504,185,1651,1445,1579,279
ACRBP,241,668,282,564,67,72,178,209,59,49,71,104,372,660,459,136
CXCR3,119,1184,787,444,633,131,280,227,58,20,103,56,780,514,223,119
NXN,129,125,44,87,25,450,593,427,382,348,97,321,215,24,10,162
ABCA7,1296,3418,2560,2480,1343,365,1018,1661,281,270,559,501,2523,1814,780,621
FGD2,2382,4911,5650,2964,669,543,1680,2055,524,381,873,1000,3722,2807,5160,678
CYTH4,2527,8892,4549,6746,2194,707,2486,2729,701,190,1658,865,6000,3966,4818,1300
TP53INP2,941,1268,799,1346,318,1461,1780,3883,3300,1556,1843,720,1503,657,591,2483
MAP1LC3A,153,289,133,118,104,526,452,426,428,245,115,147,170,110,105,528
TNRC6C-AS1,484,1679,1063,1274,595,139,602,430,314,74,421,215,958,810,840,266
C7orf43,476,1356,1110,1262,419,317,786,691,381,237,367,297,1227,853,1080,461
RPL7AP64,27,47,53,45,3,3,4,5,4,0,10,7,46,28,94,3
KIF9,92,151,45,108,47,231,472,134,271,132,70,111,118,58,40,174
ADAMTS4,406,462,21,180,24,39,570,2258,9477,21854,1904,57,686,24,9,2655
ID3,779,971,249,1327,118,1007,2909,1891,5163,2014,1054,1814,935,590,219,1505
LCP1,14811,61628,53891,42606,23401,6875,17331,21396,8087,2475,13199,4303,37887,27415,45143,11213
SP6,1,10,2,3,9,45,25,26,40,76,15,55,18,7,1,32
DSTN,3007,4683,1851,3714,1489,4574,10217,5193,9562,5149,2303,3750,4300,1644,1639,5502
AF127936.5,21,151,59,87,29,26,24,23,7,0,12,12,71,67,104,13
GPIHBP1,34,40,2,2,0,0,45,209,3340,1232,65,12,14,3,0,303
CD37,2486,6617,5248,5455,1633,752,2534,3027,764,471,1405,1173,4069,3187,4834,1510
CD244,449,1339,846,675,748,110,260,584,213,65,179,113,734,431,581,225
LINC01146,96,278,162,248,52,42,87,84,13,4,25,48,133,164,249,36
PYGO1,7,5,0,7,0,76,16,22,97,11,23,29,4,0,1,4
SLC16A13,50,141,104,88,51,33,96,43,33,17,32,28,167,115,91,38
ARL4A,1149,1294,623,1064,286,985,1678,1890,1907,1114,1186,1280,577,579,383,2253
HSPG2,1041,2111,167,886,119,3106,2813,8421,70619,19236,5534,1348,5029,332,96,6331
TPPP3,219,180,27,164,18,229,531,860,1393,398,408,75,196,41,45,1087
RFX5,1974,5391,3874,3549,1857,1247,2312,2488,1382,508,1071,1084,2695,2490,3311,1608
GPR155,1131,2261,1789,1888,497,287,492,906,370,268,511,392,1088,1242,2251,539
F2RL3,70,132,11,41,2,3,198,402,3588,3573,206,17,90,2,1,418
TNKS1BP1,525,915,333,936,448,4061,2658,1875,2486,2111,1001,1964,1678,1182,185,2655
RPS6KA1,1863,4603,4628,4615,1435,1151,2769,1890,579,379,1069,903,3685,2833,4468,1440
DAPP1,679,1629,1816,1605,541,208,642,622,137,65,436,281,1024,922,2153,203
EPHA2,503,408,111,471,148,729,1175,2332,1758,1129,316,908,744,255,62,3863
OVGP1,88,96,76,130,38,107,289,192,246,102,125,108,74,97,43,94
MYL9,901,1549,148,584,154,3514,2399,2420,8857,3101,1696,1309,1673,181,69,4008
FMO3,44,26,2,33,0,30,116,278,400,271,313,18,26,9,4,63
NETO2,988,680,523,1516,540,2347,4636,1719,1449,948,1175,2791,670,415,447,769
RP11-27I1.4,31,63,85,66,38,15,42,22,12,6,18,14,52,35,44,5
CNN1,16,68,7,48,0,10,109,227,464,1902,103,4,47,13,2,437
CFAP45,16,26,14,32,19,104,80,45,39,53,26,35,18,13,9,31
SEC31B,1209,2677,2310,1572,1013,303,718,1054,576,173,579,443,1395,1184,816,272
CSF2RB,811,2289,2351,3031,600,269,564,1001,503,225,602,314,1809,1657,3719,567
IFFO1,1607,3768,2624,2680,885,813,1900,1515,1243,445,992,783,2435,1954,2542,858
TUBB2A,414,413,234,274,170,452,1168,742,437,506,285,586,239,344,199,1171
LINC00997,20,18,13,35,29,331,122,45,73,41,37,75,27,18,13,80
4-Sep,184,442,54,95,42,215,714,651,2581,338,761,257,303,41,41,575
GGA3,1350,2966,2836,2554,1180,700,1515,2035,904,522,899,883,2418,1778,2206,750
SCIMP,889,1684,1555,1987,234,267,421,600,180,113,265,226,1131,1157,2328,586
RASD2,89,24,13,55,6,620,122,186,751,160,96,99,69,10,4,83
TMEM47,244,308,20,142,6,607,577,1082,2847,1986,402,1058,455,35,8,1037
DCPS,253,705,395,543,316,167,455,261,170,110,140,189,444,337,286,241
NOTCH4,753,708,173,272,47,71,1416,2738,17168,10448,2254,148,817,96,60,2917
OAS2,1126,5144,3982,3884,4434,985,1553,1326,1853,470,683,662,2765,4708,2726,944
PTPN6,2945,7770,7814,6739,3104,1535,4624,3236,978,326,1646,1212,5253,4283,6547,1632
KCNA5,6,14,8,5,0,102,55,16,67,23,28,5,5,11,1,24
WTIP,47,104,15,73,11,91,139,153,418,210,81,87,83,12,15,162
RP11-757F18.5,3,3,2,2,4,7,26,121,2,13,14,19,4,6,1,51
RGMB,140,166,95,188,57,174,266,320,534,491,145,401,167,120,53,243
CYB5R4,1173,2423,1978,2693,723,538,1015,1191,739,419,587,509,1396,1303,2544,689
DYRK3,197,171,32,168,47,103,273,578,771,929,194,429,86,20,17,618
KALRN,199,190,76,214,43,145,394,575,2891,1431,405,980,438,34,125,489
TJP1,619,608,141,484,242,900,974,2450,4657,4920,783,1103,778,187,16,2517
ZBTB24,373,796,690,667,436,178,584,438,265,96,231,214,540,538,500,183
RHOV,4,4,6,5,2,14,278,90,4,17,93,18,13,21,1,135
PRR16,24,18,2,10,4,93,32,64,171,100,45,3,13,3,2,58
ADAD2,0,0,0,0,0,0,2,49,6,40,4,1,0,0,1,74
5-Sep,200,267,33,93,53,791,456,308,1223,119,292,353,125,18,17,554
ZBTB8A,36,48,35,36,12,69,108,92,248,122,49,49,63,22,22,62
RP11-51F16.1,51,173,190,98,95,28,69,53,31,8,48,15,173,74,123,21
TLE1,410,358,273,348,135,412,1158,875,1881,1022,528,389,456,174,63,623
CASP5,45,133,140,185,60,18,59,44,26,13,35,4,102,98,133,36
DNASE1,595,1463,1193,729,465,162,436,462,365,71,323,236,1297,681,427,169
MEX3D,40,109,61,129,36,262,241,216,258,116,76,169,186,107,64,260
SCHIP1,88,82,8,74,14,82,150,278,990,574,123,84,64,26,1,464
MINK1,3241,5734,5591,5471,1505,1573,3730,3372,2155,1088,1587,2002,5083,4098,4751,2109
FZD7,28,71,22,52,16,126,123,85,355,249,75,232,142,27,12,117
RP11-325I22.3,35,87,49,51,42,9,15,20,10,0,16,9,36,50,15,6
AFAP1L1,219,446,34,115,67,46,405,785,6036,2264,658,254,274,47,84,793
TRAF3IP3,2425,7089,5934,3661,3298,744,2231,2240,692,161,1324,755,4428,2683,2160,435
LAMC3,8,16,0,11,12,6,14,185,1905,380,133,3,35,9,0,86
EFHD1,139,137,16,76,6,227,517,309,1450,675,146,73,158,15,7,793
GAB3,1206,2971,2514,2598,900,276,1155,1189,618,181,861,385,2196,1392,2002,371
HECW2,148,199,49,135,30,17,323,978,7306,1486,665,51,283,44,19,457
TCEANC2,480,751,613,566,289,291,436,331,251,90,198,283,592,452,471,134
CXCR2P1,139,1651,329,134,446,8,65,126,16,21,9,77,506,373,1387,165
HCST,750,2963,1506,2162,1019,337,925,893,294,60,459,237,1603,1592,1312,618
ATG16L2,3715,5711,5147,5007,1189,743,2849,3290,1382,708,1295,1086,4940,2854,5170,1412
ABCD2,82,493,415,165,592,46,80,65,53,5,55,64,386,172,92,14
TSC22D1,7877,8964,1927,8451,1391,6554,38985,11375,20129,19743,6022,9637,5534,2496,1489,15987
DGKQ,586,1851,1613,738,680,354,635,721,452,179,259,284,1532,632,660,413
JUP,876,756,196,595,229,1531,4483,2225,3849,2724,739,1071,1885,377,192,2379
HIVEP3,285,1385,1057,1082,708,195,344,554,312,274,235,216,1351,1031,1124,399
LINC01232,79,258,139,141,80,44,67,73,35,11,37,75,124,255,158,39
HSPH1,10608,5910,2485,4595,1771,1615,12699,32174,8066,116820,5233,45486,1878,2500,2756,47989
PPEF1,7,10,4,19,7,28,52,21,20,11,24,13,7,11,4,21
APP,10521,19170,4416,12672,6633,23462,34269,24364,52253,39320,13051,14920,15716,10331,3891,21081
TMEM217,24,45,17,60,21,39,149,101,73,138,35,45,29,6,15,263
MAGED2,3016,5622,2109,4124,1662,6067,11173,4242,7293,2449,3671,3556,4256,2691,1789,4427
