"","mod_name","mod_genes"
"MEcyan","MEcyan","A1BG, NAT2, APOC4-APOC2, CHST4, PRG4, CLEC4M, CDO1, COLEC10, SLCO1B1, MASP2, CFHR4, CFHR3, SLC38A3, SLC27A5, AKR1C4, ANXA10, GPR182, CHRNA4, SLC22A9, PGLYRP2, APOA5, CLCA1, TPPP2, ACKR2, ADH1A, FAM69C, ADH1C, ADH4, AADAC, UROC1, ACOT12, CPB2, CPS1, CRHBP, CRP, TTC36, NOTUM, ADRA1A, HFE2, KLB, CYP1A1, CYP1A2, CYP2A6, CYP2A7, CYP2C19, CYP2C9, CYP2C18, CYP2E1, CYP3A4, CYP7A1, TMPRSS6, OIT3, AFM, AGXT, AHSG, ALB, F5, F7, F9, F11, F12, F13B, FABP1, FABP2, FCN2, FGA, FGB, FGG, FGL1, FMO5, CUX2, PCSK9, SERPINA11, AMBP, GATA4, FGF21, GDF2, FETUB, GLS2, GNMT, BMP10, GPLD1, SLCO1B3, SLC25A47, SLC13A5, CYP4A22, GPX2, GRM6, GYS2, HAL, SERPIND1, CFHR1, CFHR2, HGFAC, FOXA2, FOXA3, ONECUT1, APOF, APCS, HPR, HPX, HRG, HSD17B2, APOA1, APOA4, APOB, SLCO1B7, CLEC4G, TMC3, APOC3, HSD17B13, CXorf66, IGFALS, APOH, INHBC, ITIH1, ITIH2, ITIH3, ITIH4, ENHO, KNG1, SLC22A25, SLC22A10, GBP7, LECT2, LPA, CYP4F3, MAT1A, MBL2, ASGR1, ASGR2, PLIN5, MT1B, MTTP, SERPINC1, ORM1, ORM2, OTC, SERPINA10, CLEC1B, PFKFB1, SERPINA4, PIK3C2G, PLA2G5, UNC93A, HAO1, PON1, PON3, ELOVL2, SLC38A4, SLC30A10, STAB2, ALLC, TDRD1, PROC, PROX1, PRSS3, BAAT, IGSF9, GPAM, PZP, RBP4, MBOAT4, SAA4, CCL16, ABCG5, ABCG8, GREM2, PHGR1, SHBG, SI, CYP3A43, ETNPPL, SLC1A2, ZG16, SLC10A1, SLC22A1, SPP2, SRD5A2, AKR1D1, SULT2A1, SERPINA7, TF, TFR2, TM4SF4, C4BPB, C5, TTPA, TTR, C8A, C8B, C8G, C9, UGT2B10, UGT2B15, UGT2B17, VTN, CA5A, MOGAT2, CFHR5, RTP3, SLC25A18, ANGPTL6, CYP4F2, RDH16, HSD17B6, ABCB11, CBS, NR1I2, PROZ, REEP6, HAND2, NR1I3"
"MEmagenta","MEmagenta","ADA, NAALADL1, SIGLEC14, ABI1, TANK, TRAPPC3L, TNRC6C-AS1, SH2B3, FRAT1, SAP25, PARP3, SLFN12L, KLRC4-KLRK1, NR1H3, IL18BP, TSPAN32, ARPC5, ACTR3, ACTR2, ADAM8, ARPC2, SGK2, RASGRP1, EBI3, PLXNC1, RASA4, LPAR6, SLC25A13, DHRS9, LHFPL2, TNK2, CTDSPL, KLRG1, CD96, STX6, RASGRP2, IGSF6, RGS19, LILRB2, ADAR, ZNF267, TCIRG1, IKZF1, SIRPB1, TLR6, TRIM22, ABCA7, IRF9, BTN3A3, BTN2A2, ST3GAL6, CD52, IFI30, GPNMB, MERTK, CLEC10A, TADA3, SLC25A17, CAP1, VAT1, CEBPA, SEMA4D, CEBPE, ATG7, UBD, BATF, ARL6IP5, IFI44, CXCL13, NPC2, GNLY, CDC42EP3, SH2B2, PAIP1, TGOLN2, ARID3B, MYL12A, CELF2, CXCR6, CD226, GNA13, TNFSF13B, CNPY3, STAG3, PTTG2, CTSC, NCKAP1, VAMP5, CYSLTR1, NEU3, CEACAM3, HPSE, LILRB1, ADAM28, ARID5A, HCST, CD300C, FGL2, CEACAM4, TRAFD1, PNPLA6, EHD1, PRSS21, STARD3, IFI44L, RAB32, LILRB5, ILVBL, LILRB4, GLIPR1, TDRKH, LILRA1, LILRA2, ADAP1, RIPK3, OGFR, CNTRL, CACFD1, BTN3A2, BTN3A1, RCAN3, CD160, CORO1A, CHIT1, SLC2A6, MAP4K1, RASSF1, CHKB, IRAK3, DUSP10, GALNT6, HPS5, CHN2, PADI2, SNX18, CMTM7, SP140, ATXN2L, USP18, ADCY7, LYST, SLCO2B1, CD300A, MGAT4A, VSIG4, GLCCI1, TMEM106A, FKBP9, CHRNA1, CMTM1, KLHDC7B, PIK3IP1, HENMT1, DTX2, SIGLEC11, LACTB, NLRP3, CARD16, STK11IP, FMNL2, FHAD1, SLAMF6, OSBPL7, CKB, KCTD12, FCRL3, GBP4, GBP5, RASGRP4, ARL11, RNF166, LRRC58, BATF2, COX20, ABHD15, RAB39B, GRIN3A, CLNK, FAM129A, ARAP2, ARAP1, AGAP2, CATSPER1, SLC16A10, TAGAP, ANTXR2, PIK3AP1, ZFYVE27, ANKRD22, CLIC2, OR52K2, RHEBL1, GTSF1, SPIC, SPPL3, SLAIN1, PLD4, CCR1, TC2N, SLC24A4, CCR5, CCR7, CCR8, CMKLR1, SNX20, HSF5, CD300LB, KIF19, C17orf49, WDR81, GJD3, TTC39C, OSCAR, ALDH16A1, TMIGD2, MOB3A, MFSD12, LRRC25, RINL, ANKLE1, IFFO2, RNF19B, EDARADD, HIST3H2BB, DRAM2, C1orf162, FITM2, ZNF831, SIRPD, PROKR2, TANGO2, TRABD2A, CMPK2, COL9A2, PQLC3, M1AP, CD200R1, SLC31A2, PPM1M, TMEM155, MAP3K8, EMB, PPARGC1B, NADK2, C5orf49, CR1, TMEM71, CR1L, MUM1L1, GAB3, DOCK11, ADORA3, ZNF358, APOBEC3D, TRIM69, SAMD10, UBE2F, ADPRH, CRYBB1, CSF1, CSF1R, CSF2, CSF2RA, CSF2RB, CSF3R, TMEM86A, CSK, CEP128, HAPLN3, CMTM4, CMTM2, PRSS36, B3GNTL1, CD300LF, PIK3R6, TMC8, TMEM99, CSTA, SYT6, C1orf127, CTBS, SLC30A7, MOB3C, PYHIN1, GTSF1L, CTNS, AIFM3, DUSP18, NFAM1, FBXO41, ITPRIPL1, CTSB, PLB1, CTSH, CTSL, GPR155, DTX3L, WDR49, BTLA, CCDC12, CTSS, GLIPR2, CTSW, CTSZ, CX3CR1, JAKMIP1, RASGEF1B, CYBB, ADRB2, CYLD, SAMD3, MBOAT1, ZNF746, VPS37D, TTC16, CXorf65, CXorf38, CLEC12A, CLECL1, DGKA, DGKQ, TMEM229B, SYNE3, DAXX, ZFPM1, AP1B1, MFSD6L, SLFN5, FBXO39, DEDD2, DCK, GBP6, DENND1B, TTC24, APOBEC3H, GADD45A, PARP15, TXLNB, GIMAP7, TMEM64, IDO2, C10orf128, PWWP2B, SSBP4, CLEC4C, GIMAP1, S100Z, PPP1R18, PTCRA, ABHD3, DNASE2, DOCK2, DOK1, DPYD, ARID3A, DTNB, DUSP2, DUSP4, E2F4, TYMP, AHR, MPZL3, IMMP1L, PAOX, PATL2, MLKL, ACSF3, NLRC3, NSMCE1, AIF1, SERPINB1, MCEMP1, CC2D1B, CRTC2, FAM209A, APOBEC3F, TET3, MARK2, ARHGAP27, TRIM65, UNC13D, TIGIT, TMEM154, GAPT, HTRA4, NAIF1, SUSD3, EPHA1, ESR1, ETV5, ETV6, EVI2A, EVI2B, F13A1, PTK2B, FANCG, SAMD9L, SLC37A2, TMEM136, OR5B21, MPEG1, FCAR, LRRC63, FCER1G, FCGR1A, RASGEF1A, FCGR2B, FCGR3A, FGD2, FCGR3B, JAZF1, FCN1, DAGLB, FES, ABCD2, FGR, TFEC, IKZF3, IKZF2, RASA3, RNF44, VASH1, NLRP1, PPP6R1, DENND3, CARD8, SBNO2, ELL2, KDM2A, MAST3, KIF21B, FNBP1, GGA2, PPRC1, IQSEC2, MCF2L2, TBC1D2B, FLI1, EPB41L3, FLII, ANKLE2, FCHO1, TBC1D9, STAB1, EFR3A, LPIN1, RFTN1, CYFIP1, PSME4, PLEKHM2, MLC1, NBEAL2, FLT3, NUP210, FLT3LG, KLHL18, FKBP15, DMXL2, MAN2B2, ATP13A2, FRAT2, COTL1, KCNH4, GCAT, FOLR2, LRRC8B, MMD, PIK3R5, ATP6V0A2, LILRA4, PSD4, FPGS, FPR1, FPR2, DDX58, FPR3, ACOT9, CLEC5A, DAPK2, SH3BP1, NUP62, LY96, PLD3, PLA2G15, RAB38, IL17RA, ALOX5, ALOX5AP, IFIT5, CNOT6L, STAC3, IL27, FTL, FUCA1, FUT4, FUT7, TMEM244, IFI6, ZDHHC20, EHBP1L1, TSGA10IP, CNIH2, LPCAT4, NUDT8, TMEM86B, MCOLN2, RNF144B, C19orf38, SCML4, LYSMD2, HEATR9, PLCXD2, ZNF683, ARHGAP30, GCSAM, TBC1D22A, SUN2, GAK, GCA, TNFAIP8, DCAF12, PRKD2, IFFO1, NCR3, TAS2R41, IL4I1, SAMHD1, ZNF385A, SEC31B, OSBPL3, IPCEF1, PPP1R16B, CCDC69, LDLRAP1, TRPC4AP, GIMAP2, PTPN22, STAP1, GATA3, CLEC4E, FBXO6, PLA2G2D, GBGT1, GBP1, GBP2, GBP3, GCH1, GCNT1, OSTF1, RGL4, GFI1, GIPR, ABL2, ZBTB32, SIGLEC7, LAT, DAPP1, ST6GALNAC4, AMPD2, CYTH4, PALD1, NDOR1, NAAA, SIGLEC9, SIGLEC8, GPR82, AMPD3, C5AR2, COQ2, SIT1, VENTX, ADAMDEC1, HPGDS, P2RY10, TMEM97, APOBEC3C, TOR2A, GLUL, GM2A, GML, GNA15, GNAI2, GNAI3, GNGT2, GOLGA3, GP1BA, IFNL1, XCR1, STK32C, BLOC1S2, SLC25A45, KCTD21, CCDC88B, CXCR3, CD163L1, RASSF3, CLEC9A, GPR15, C16orf54, TSEN54, UBALD2, VMO1, MILR1, GPR18, GSDMA, TMEM102, HMSD, LYPD5, PPP1R37, TMEM150B, FAM102B, SIRPB2, RNF149, CCDC141, RTP5, ERICH2, RUFY4, SLC9A9, EOGT, GPR31, PRRT3, GPRIN3, GPR33, RELL2, GPR34, PPIL6, XKR6, ZNF707, FAM78A, YIPF6, FFAR2, GRK6, GRB2, GRN, DBNL, ABR, SLC43A3, PYCARD, CLEC2D, C11orf21, CD274, CXCL3, BLNK, CYP2S1, ZDHHC8, TFPT, ICOS, GPR171, SNX11, GYG1, GPR132, DSE, CDIP1, MDFIC, GZMH, PILRA, PACSIN1, TBX21, GZMA, SH3KBP1, GZMB, GZMK, GZMM, HIST1H1E, ANXA1, HCK, HCLS1, HDAC1, NCKAP1L, HGF, CD209, HHEX, ANXA6, HK3, HLA-A, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DQB1, HLA-DQB2, HLA-DRB1, AOAH, HLA-F, HLA-H, HMGCS1, HPS1, RAB37, HRH1, BIRC3, HSPA6, HSPA9, SNAI3, HTR7, ICAM1, CLEC4D, TAS2R60, ANO9, ICAM3, FFAR4, ICAM4, ANKRD13D, C17orf67, IRF8, TFAP2E, C1orf228, TMEM173, ZC3H12D, TREML1, APOC1, PKD1L3, CD300E, IFI16, IFI27, IFI35, SP110, IFIT2, IFIT1, FCRL6, IFIT3, CD200R1L, IFNAR2, IFNG, IFNGR1, IFNGR2, SOWAHD, APOE, ANKDD1A, FAM131C, APP, RBPJ, GPR141, TICAM2, LILRA5, IL1B, IL1RAP, IL1RN, IL2, IL2RA, FASLG, IL2RB, IL2RG, IL4R, IL7, IL7R, IL9R, IL10, IL10RA, IL10RB, IL12A, IL12B, IL12RB1, IL13RA1, IL15, IL15RA, IL16, TNFRSF9, IL18, IDO1, CXCL10, INPP4A, INPP5D, INSL3, IRAK2, IRF1, IRF2, IRF3, IRF5, IRF7, ISG20, ITGA3, ITGA4, ITGAD, ITGAE, ITGAL, ITGAM, ITGAX, ITGB2, ITGB7, ITK, ITPR2, ITPR3, JAK3, CD82, KCNA3, TBC1D10C, C12orf42, ZNF710, B3GNT8, NRROS, KCP, KCNJ5, KCNJ10, KCNN4, KEL, KIR2DL4, KIR3DL2, ARF6, KLRB1, KLRC1, KLRC2, KLRC3, KLRD1, ARG2, RHOA, THEMIS, ILDR2, OR56B1, CLEC12B, SCIMP, CCL4L1, FAM69A, BEND4, ANXA2R, NUGGC, OR52N4, LAG3, LAIR1, RHOG, OR2L8, LASP1, ARHGAP4, LBR, LCK, LCP1, LCP2, LFNG, LGALS9, ARHGDIB, LIMK2, RHOH, SLC25A35, LLGL1, C15orf53, LOC400499, VMAC, DTHD1, LNPEP, C9orf139, SLC25A53, LDLRAD2, LRMP, LSP1, LTA, LTB, LTK, LY6E, LY9, CD180, LY75, LYL1, LYN, SH2D1A, LYZ, TM4SF1, EPCAM, M6PR, ARRB1, MARCKS, ARRB2, MAFG, MAN2B1, C10orf105, MATK, MBNL1, MCM5, ME1, MEFV, RAB8A, MFNG, MGAT1, MGST3, CIITA, MICB, MIF, CXCL9, ASCL2, ASTL, MNDA, MOV10, MPP1, MRC1, CARD17, CCDC88C, ODF3B, C5orf56, MSN, MSR1, MST1R, MYO1F, MX1, MX2, MYB, MYBPC3, MYCL, MYD88, MYO5A, MYO7A, MYO9B, NAGA, NAIP, NCF2, NCF4, NDUFA1, NDUFAB1, NDUFS4, NDUFS5, GIMAP6, NEFH, NELL2, NFATC2, NFKB1, NFKB2, NFKBIE, NINJ1, NINJ2, NKG7, NOTCH2, ATP2A3, ATP2B1, NRTN, OAS1, OAS2, OAS3, TIFAB, OLR1, WRAP73, OPRL1, P2RX7, P2RY6, P2RY11, CHST11, PAK1, IL21R, DEF6, ARHGEF3, NEUROG3, ASAP1, TRAT1, VILL, CLEC4A, PBX3, FOXP3, LAP3, ZDHHC9, CYB5R4, PLEKHO1, SS18L2, HERC5, ZNF219, ABI3, SHISA5, IER5, C1RL, TLR7, GMIP, CD320, SLC15A3, TLR8, NME8, PDCD1, MS4A4A, MBTPS2, CRLF3, TRPV2, PDE3B, BIN2, PDE4B, PCYOX1, UBE2J1, EVL, PDE6G, ETV7, SIRT7, FAM49B, NUB1, ASB2, TRAPPC2L, HECA, ACSL5, CAB39, GHRL, CD244, ERAP1, TMEM8B, RAB8B, CFP, ATP6V1B2, PHKG2, SERPINB8, SERPINB9, PIK3CG, ACP2, PIP4K2A, PLA2G4A, PLCB2, CHIC1, TM6SF1, PLCG2, TPCN1, CLIC5, PLEK, PLSCR1, PLTP, PMCH, PML, FXYD5, P2RY13, GPR84, ATP5O, ACP5, TREM2, GNG2, YIPF1, SASH3, XRN1, FAM105A, CPVL, RHOF, APBB1IP, POU2F2, POU3F1, MIER2, NECAB2, SGTB, PARP14, TMEM106B, RAB39A, XAF1, FAM20A, SAMD9, SIDT1, TOR4A, UHRF1BP1, CMTM6, RNF125, LPCAT2, PIGX, PPP1CA, ACPP, AUP1, PPP1CB, HERC6, HEATR3, TAPBPL, PPP1R3D, PPP2CB, KIAA1551, MAP1S, LGI2, PPP2R2B, MOB1A, TMEM206, C7orf43, PGM2, GIMAP4, SLC29A3, ACER3, C19orf66, GIMAP5, COPRS, LAPTM4B, TBC1D2, STYK1, PI4K2A, PPT1, CHST12, BATF3, SRGN, TRIM36, RBM38, CDV3, NAGK, BMP2K, DDX60, DOCK10, ZDHHC7, FLVCR2, NLRP2, PRKACB, MREG, MAP7D1, CCDC88A, NECAP2, FAR2, CHFR, PRKCB, AXL, ADAP2, TRERF1, RNF130, PAG1, PRKCH, EAF2, ARHGAP15, GSDMB, PRKCQ, GPRC5C, APOBR, NXF3, SMG9, EIF2AK2, PRKX, CRTAM, TMX4, LGMN, KCNK13, B2M, RETN, ZC3HAV1, SLAMF8, SPHK2, CDC42SE1, SPIRE1, DUSP22, PSMB8, PRDM8, PSMB9, PSMB10, CDC42SE2, SLC12A9, CABP4, CASS4, RPGRIP1, CYSLTR2, LPAR5, ATP13A1, MAN1C1, ZNFX1, CORO1B, MCOLN1, PSME1, PSME2, TTC7A, PTAFR, PTGDR, PTGER4, ERMN, GRAMD1B, KIAA1324, ZNF319, PREX1, MKL1, ZBTB2, LRFN1, GRAMD1A, RNF213, NCKAP5L, WDFY4, PTPN2, SFMBT2, ZFYVE28, PTPN6, PTPN7, BAK1, HAMP, SLAMF7, PTPRC, PTPRCAP, PTPRE, PTPRJ, PTPRO, CXCL16, TP53INP2, NLRC4, ARHGAP22, DNASE2B, ABRACL, RRAGD, RAB27A, RAC2, RALGDS, RAP1A, IL21, RAP1B, RAP1GAP, RAP2B, RARRES3, HIVEP3, SIGIRR, SCPEP1, GNB4, LGR6, RBMS1, REL, BCL2A1, RELB, RFX5, RGS10, RNASE2, RNASE3, TSKS, SLC25A19, RNASE6, TGIF2, ELOVL5, APOBEC3G, SPCS3, MIIP, RP2, RPS6KA1, RPS6KA3, RTN1, RYR1, S100A4, S100A8, S100A9, S100A12, S100B, CCL2, CCL3, CCL4, CCL5, CCL8, CCL17, CCL18, CCL22, CCL23, CXCL11, XCL1, SDCBP, CXCL12, SDHA, PRDM1, ELMO2, GPSM3, SECTM1, MYO1G, SELL, SELPLG, SAMSN1, PARVG, LRRC4, NPFFR1, RTP4, NOD2, IFIH1, ERAP2, CARD9, DPEP2, DPEP3, SEMA4A, ROBO3, MS4A6A, ARHGAP9, MS4A4E, IKZF4, TMPPE, MMP25, CBLN3, RGS18, MTMR14, ZCCHC18, SH3BGR, SH3BGRL, CCNI2, ARRDC5, CLEC7A, TMPRSS3, SMAP2, MFSD1, PARP12, MICAL1, P2RY12, NABP1, ST8SIA1, BCL11B, RASAL3, SIPA1, SKIL, SLC26A6, SLAMF1, SLC1A3, NOL6, SLC1A4, NADK, ZSWIM4, NCF1, SRGAP2C, SLC8A1, SLC9A1, SLC11A1, SLC25A1, ZBTB10, SMARCD2, SIGLEC1, SNTA1, SP100, SPI1, SPN, SRC, TRIM21, SSTR3, STAT1, STAT2, STAT3, STAT4, STAT5A, ZFP36L2, STK4, STK10, STXBP2, BST2, VAMP1, XCL2, SYK, SYPL1, ADAM17, TAP1, TAPBP, TBXAS1, TCF7, BTK, PRDX2, TEP1, TESK1, TFE3, TGFBR1, TGM2, TIAM1, TLE4, TLN1, TLR1, TLR2, TLR4, SERPING1, TLR5, TSPAN6, TM7SF2, TMSB4X, C1QA, TNF, TNFAIP2, TNFAIP3, C1QB, TNFRSF1B, C1QC, C1R, C2, TPM3, TRAF1, TRAF2, TRAF3, TRAF5, C3AR1, TRPM2, TRPS1, TSHR, TTN, C5AR1, TNFSF4, CCR2, TXK, TYK2, TYROBP, UBE2D1, UBE2E2, UCP2, USF1, VASP, VAV1, VDR, VEGFC, VHL, WARS, WAS, WIPF1, CORO2A, WNT10B, FMNL1, ZAP70, ZNF80, TRIM26, CACNA1D, LAPTM5, TVP23A, MOGS, CXCR4, SLC25A20, DBNDD1, ST8SIA4, PVRIG, DHX58, TNIP2, PLEKHF1, GNPTAB, LILRA6, EFHD2, ABHD16A, HMGN5, BCL2L14, PLA2G7, ZBED2, C17orf62, CORO7, RNASEH2B, TNFAIP8L2, OGFRL1, C1orf54, HSPBAP1, PARP8, GAL3ST4, LRRK1, ZNF668, MCTP1, MICALL2, GSDMD, HPS6, TREML2, NUDT18, RIN3, ATP8B4, PRR5L, BTNL8, DOK3, TNIP3, DENND1C, DENND2D, TMEM156, UBTD1, SLC8B1, ATF7IP2, VCPIP1, TRIM46, CCDC170, CTC1, ALPK1, ORAI2, CXorf21, FAM214B, PLEKHO2, TRABD, ABTB1, WNT10A, DNAJC5, WDR82, TRAF3IP3, PDCD1LG2, AKNA, PBX4, PTP4A2, NDFIP1, STARD5, LIMD2, APOL6, APOL4, APOL3, NPL, CAMK4, DCSTAMP, RND2, GDPD5, VOPP1, FAM49A, FAM117A, TRIM11, TRIM8, UNC93B1, TSC22D4, DOCK8, ELL, TLR10, ADAMTS10, ARID1A, CAPZA1, COLQ, KLRC4, ACOX3, EOMES, HIST1H2AC, HIST2H2AC, CASP1, ADPGK, MXD3, FAM110A, CCM2, ZMIZ2, PARP9, CASP4, FERMT3, CASP5, SPATA9, STK40, RASSF4, CASP7, TMPRSS13, B3GNT5, EMILIN2, PLEKHN1, HORMAD1, CASP8, PRAM1, NLRC5, SLA2, MFSD7, ZMYND15, LRRC8C, ZDHHC18, TMEM175, CAPNS2, HVCN1, NSMAF, CARD11, FRMPD3, ACRBP, KBTBD8, NTNG2, GPR174, CARD6, KDM2B, PPP1R9B, MS4A14, LOXL3, BEX2, GPR65, HAVCR2, PARP10, ORAI1, ADO, PLXDC2, ZNF341, CORO6, RELT, SYTL1, IGSF21, LSM10, TOX2, TMEM141, NDST2, KCNAB2, IKBKG, IFITM1, GAS7, DGKZ, CST7, PAQR8, CBX4, MICALL1, APOL1, LMO4, HELZ2, ZNF518B, SSH2, DNAJC5B, TP63, CBFA2T3, SKAP1, OASL, RUNX3, SOCS1, CBL, VAMP8, STX11, CBLB, PEA15, MARCO, S1PR4, B3GALT4, TNFSF14, TNFSF13, TNFSF12, TNFSF10, ADAM15, SNAP23, SIGLEC5, TNFRSF18, TNFRSF11A, TNFRSF10A, DYRK4, CREG1, IL18RAP, IL1RL2, HESX1, IQGAP1, CD84, CFLAR, FCGBP, ST3GAL5, VNN2, SGPL1, CPNE1, AP1S2, WASF1, CCND2, KYNU, CCND3, H1FX, CHRNA6, SIGLEC10, ABCC10, FGD3, FCHSD1, ATG16L2, MVB12B, KLHL6, RPS6KA4, LIMD1, MAP3K14, CLIC3, OTULIN, CEACAM21, KLHL13, PKD2L1, CCRL2, BMF, DOK2, SH2D2A, PSTPIP2, PSTPIP1, SLC7A7, SLC7A6, PAPSS1, CLDN12, USP2, CD1B, FCGR2C, DPP9, CD1C, NMI, CD1D, BOD1, DDX60L, CD2, SYNGR2, SYNGR1, CD3D, CTDP1, PCED1B, ANKRD44, RSAD2, UBXN11, PCSK7, CD3E, SLFN11, NLRP12, TMSB10, CD3G, LPAR2, ZNF804A, NXPE3, CHMP7, ARHGEF2, FDXACB1, CD247, CD4, CD5, OXNAD1, CD5L, RCSD1, CD6, CD7, UBE2L6, CD8A, MFHAS1, CD8B, TIFA, STK17B, STK17A, CYTH1, ARRDC1, HIST3H2A, GPR55, GPR52, B3GNT7, CD83, CD163, SP140L, CACNA2D4, ARHGAP18, OTOF, CD27, CLEC6A, CD101, GRAP2, MUC16, ZNF101, LPXN, LENG9, CD80, ORMDL3, SYTL3, CD86, KCNK6, EPSTI1, TP53INP1, ECEL1, TNFRSF8, NCR1, TNFSF8, AIM2, CD33, LY86, ITM2A, ARHGEF6, SIGLEC6, IL27RA, THEMIS2, PGS1, AKAP5, SLC4A7, SLC4A8, CD37, LITAF, CD38, GMFG, EI24, GTPBP1, CD40, CD40LG, CYTIP, PITPNM1, NFE2L3, CD47, CD48, CD53, SEC24C, ISG15, IKBKE, PLCH2, TTLL4, LPIN2, SDC3, FAM53B, CD68, CD69, EDEM1, CD70, CD72, CD74, DOCK4, HDAC9, ACAP1, TOX, KIAA0513, RASSF2, PIEZO1, RIMS3, SPOCK2, TRIM14, JAKMIP2, ZEB2, TESPA1, ELMO1, C2CD2L, CEP170, TRANK1, DENND4B, MAFB, CD302, ARHGAP25, HS3ST2, TNFSF15, CLEC2B, DOPEY2, REC8, SCO2"
